,Timestamp,Trend Flags,Status,Value,predicted_mean
190,02-Dec-23 11:30:00 PM IST,{ },{ok},23,
191,02-Dec-23 11:45:00 PM IST,{ },{ok},23,
192,03-Dec-23 12:00:00 AM IST,{ },{ok},23,
193,03-Dec-23 12:15:00 AM IST,{ },{ok},23,
194,03-Dec-23 12:30:00 AM IST,{ },{ok},23,
195,03-Dec-23 12:45:00 AM IST,{ },{ok},23,
196,03-Dec-23 1:00:00 AM IST,{ },{ok},23,
197,03-Dec-23 1:15:00 AM IST,{ },{ok},23,
198,03-Dec-23 1:30:00 AM IST,{ },{ok},23,
199,03-Dec-23 1:45:00 AM IST,{ },{ok},23,
200,03-Dec-23 2:00:00 AM IST,{ },{ok},23,
201,03-Dec-23 2:15:00 AM IST,{ },{ok},23,
202,03-Dec-23 2:30:00 AM IST,{ },{ok},23,
203,03-Dec-23 2:45:00 AM IST,{ },{ok},23,
204,03-Dec-23 3:00:00 AM IST,{ },{ok},23,
205,03-Dec-23 3:15:00 AM IST,{ },{ok},23,
206,03-Dec-23 3:30:00 AM IST,{ },{ok},23,
207,03-Dec-23 3:45:00 AM IST,{ },{ok},23,
208,03-Dec-23 4:00:00 AM IST,{ },{ok},23,
209,03-Dec-23 4:15:00 AM IST,{ },{ok},23,
210,03-Dec-23 4:30:00 AM IST,{ },{ok},23,
211,03-Dec-23 4:45:00 AM IST,{ },{ok},23,
212,03-Dec-23 5:00:00 AM IST,{ },{ok},23,
213,03-Dec-23 5:15:00 AM IST,{ },{ok},23,
214,03-Dec-23 5:30:00 AM IST,{ },{ok},23,
215,03-Dec-23 5:45:00 AM IST,{ },{ok},23,
216,03-Dec-23 6:00:00 AM IST,{ },{ok},23,
217,03-Dec-23 6:15:00 AM IST,{ },{ok},23,
218,03-Dec-23 6:30:00 AM IST,{ },{ok},23,
219,03-Dec-23 6:45:00 AM IST,{ },{ok},23,
220,03-Dec-23 7:00:00 AM IST,{ },{ok},23,
221,03-Dec-23 7:15:00 AM IST,{ },{ok},23,
222,03-Dec-23 7:30:00 AM IST,{ },{ok},23,
